questions,step,content,label,is_calculation_or_reasoning,equation,leftSideOfEqualSign,rightSideOfEqualSign,leftSideOfEqual_use_sympy_or_llm,rightSideOfEqual_use_sympy_or_llm,leftSideOfEqual_code,rightSideOfEqual_code,JudgmentStepCalculatedCorrectly,StepCalculatedCorrectlyResult
"Eighteen hours ago, Beth and I took 100 photographs of our project. Today, Beth and I will take 20% fewer photographs of the same project. If we were to take 300 photographs of the project, how many photographs would we take to reach the target?",Step 1,"Beth and I took 100 photographs eighteen hours ago, which is 100 * 18 hours = <<100*18=1800>>1800 photos.",1,1,['100*18=1800'],['100*18=>1800=>1800.00000000000'],['1800=>1800.00000000000'],['sympy'],['sympy'],[''],[''],[1],['1800.00000000000']
"Eighteen hours ago, Beth and I took 100 photographs of our project. Today, Beth and I will take 20% fewer photographs of the same project. If we were to take 300 photographs of the project, how many photographs would we take to reach the target?",Step 2,"The number of photographs we take today is 20% fewer than the number we took eighteen hours ago, which is 1800 * 0.2 = <<1800*0.2=360>>360 photos fewer.",0,1,['1800*0.2=360'],['1800*0.2=>360.000000000000'],['360=>360.000000000000'],['sympy'],['sympy'],[''],[''],[1],['360.000000000000']
"Eighteen hours ago, Beth and I took 100 photographs of our project. Today, Beth and I will take 20% fewer photographs of the same project. If we were to take 300 photographs of the project, how many photographs would we take to reach the target?",Step 3,"If we were to take 300 photos of the project today, 300 - 360 = <<300-360=40>>40 photos.",0,1,['300-360=40'],['300-360=>-60=>-60.0000000000000'],['40=>40.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['-60.0000000000000']
"Eighteen hours ago, Beth and I took 100 photographs of our project. Today, Beth and I will take 20% fewer photographs of the same project. If we were to take 300 photographs of the project, how many photographs would we take to reach the target?",Step 4,The total number of photographs we take to reach the target is 40 + 1800 = <<40+1800=1840>>1840. The answer is: 1840,0,1,['40+1800=1840'],['40+1800=>1840=>1840.00000000000'],['1840=>1840.00000000000'],['sympy'],['sympy'],[''],[''],[1],['1840.00000000000']
"When three friends sold their video games, Ryan, the first of the three friends, received $50 more than Jason from his sales. Jason received 30% more money than Zachary from selling his video games. If Zachary sold 40 games at $5 each, calculate the total amount of money the three friends received together from the sale of the video games.",Step 1,"If Zachary sold 40 games at $5 each, he received 40*$5 = $<<40*5=200>>200",1,1,['40*5=200'],['40*5=>200=>200.000000000000'],['200=>200.000000000000'],['sympy'],['sympy'],[''],[''],[1],['200.000000000000']
"When three friends sold their video games, Ryan, the first of the three friends, received $50 more than Jason from his sales. Jason received 30% more money than Zachary from selling his video games. If Zachary sold 40 games at $5 each, calculate the total amount of money the three friends received together from the sale of the video games.",Step 2,"Since Jason received 30% more money than Zachary from selling his games, he received 30/100*$200 = $<<30/100*200=60>>60 more money than Zachary",1,1,['30/100*200=60'],['30/100*200=>60=>60.0000000000000'],['60=>60.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['60.0000000000000']
"When three friends sold their video games, Ryan, the first of the three friends, received $50 more than Jason from his sales. Jason received 30% more money than Zachary from selling his video games. If Zachary sold 40 games at $5 each, calculate the total amount of money the three friends received together from the sale of the video games.",Step 3,"When Ryan received $50 more than Jason, he received $50+$60 = $<<50+60=110>>110 The answer is: 110",0,1,['50+60=110'],['50+60=>110=>110.000000000000'],['110=>110.000000000000'],['sympy'],['sympy'],[''],[''],[1],['110.000000000000']
James has a room that is 13 feet by 18 feet.  He increases each dimension by 2 feet.  He then builds 3 more rooms of equal size and 1 room of twice that size.  How much area does he have?,Step 1,He increases each dimension by 2 feet so 13+2 = <<13+2=15>>15 and 18+2 = <<18+2=20>>20,1,1,"['13+2=15', '18+2=20']","['13+2=>15=>15.0000000000000', '18+2=>20=>20.0000000000000']","['15=>15.0000000000000', '20=>20.0000000000000']","['sympy', 'sympy']","['sympy', 'sympy']","['', '']","['', '']","[1, 1]","['15.0000000000000', '20.0000000000000']"
James has a room that is 13 feet by 18 feet.  He increases each dimension by 2 feet.  He then builds 3 more rooms of equal size and 1 room of twice that size.  How much area does he have?,Step 2,He builds 3 rooms of 15*2 = <<3*15*2=45>>45,0,1,['3*15*2=45'],['3*15*2=>90=>90.0000000000000'],['45=>45.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['90.0000000000000']
James has a room that is 13 feet by 18 feet.  He increases each dimension by 2 feet.  He then builds 3 more rooms of equal size and 1 room of twice that size.  How much area does he have?,Step 3,And 1 room of 20*2 = <<1*20*2=40>>40,0,1,['1*20*2=40'],['1*20*2=>40=>40.0000000000000'],['40=>40.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['40.0000000000000']
James has a room that is 13 feet by 18 feet.  He increases each dimension by 2 feet.  He then builds 3 more rooms of equal size and 1 room of twice that size.  How much area does he have?,Step 4,So the rooms are 45+40+45+40 = <<45+40+45+40=170>>170,0,1,['45+40+45+40=170'],['45+40+45+40=>170=>170.000000000000'],['170=>170.000000000000'],['sympy'],['sympy'],[''],[''],[1],['170.000000000000']
James has a room that is 13 feet by 18 feet.  He increases each dimension by 2 feet.  He then builds 3 more rooms of equal size and 1 room of twice that size.  How much area does he have?,Step 5,So he has 170+15+20 = <<170+15+20=255>>255 square feet The answer is: 255,0,1,['170+15+20=255'],['170+15+20=>205=>205.000000000000'],['255=>255.000000000000'],['sympy'],['sympy'],[''],[''],[0],['205.000000000000']
"Annie is a mother of 3 children: Mark, Matt, and Mike. She decided to give them some fruits. Mike received 3 oranges. Matt got twice as many apples, and Mark got as many bananas as Mike and Matt received fruits altogether. How many fruits do the three children have in total?",Step 1,"Mike received 3 oranges, so the total number of oranges that the children have is 3 + 3 = <<3+3=6>>6 oranges.",0,1,['3+3=6'],['3+3=>6=>6.00000000000000'],['6=>6.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['6.00000000000000']
"Annie is a mother of 3 children: Mark, Matt, and Mike. She decided to give them some fruits. Mike received 3 oranges. Matt got twice as many apples, and Mark got as many bananas as Mike and Matt received fruits altogether. How many fruits do the three children have in total?",Step 2,"Matt got twice as many apples as Mike, so he received 2 x 3 = <<2*3=6>>6 apples.",0,1,['2*3=6'],['2*3=>6=>6.00000000000000'],['6=>6.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['6.00000000000000']
"Annie is a mother of 3 children: Mark, Matt, and Mike. She decided to give them some fruits. Mike received 3 oranges. Matt got twice as many apples, and Mark got as many bananas as Mike and Matt received fruits altogether. How many fruits do the three children have in total?",Step 3,The total number of apples that the children have is 6 + 6 = <<6+6=12>>12 apples.,0,1,['6+6=12'],['6+6=>12=>12.0000000000000'],['12=>12.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['12.0000000000000']
"Annie is a mother of 3 children: Mark, Matt, and Mike. She decided to give them some fruits. Mike received 3 oranges. Matt got twice as many apples, and Mark got as many bananas as Mike and Matt received fruits altogether. How many fruits do the three children have in total?",Step 4,Mike and Matt received a total of 3 oranges + 6 apples = <<3+6=9>>9 fruits.,0,1,['3+6=9'],['3+6=>9=>9.00000000000000'],['9=>9.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['9.00000000000000']
"Annie is a mother of 3 children: Mark, Matt, and Mike. She decided to give them some fruits. Mike received 3 oranges. Matt got twice as many apples, and Mark got as many bananas as Mike and Matt received fruits altogether. How many fruits do the three children have in total?",Step 5,"Adding Mark's bananas to the total, the children have 9 + 3 = <<9+3=12>>12 fruits. The answer is: 12",0,1,['9+3=12'],['9+3=>12=>12.0000000000000'],['12=>12.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['12.0000000000000']
"Katy makes some brownies to eat throughout the week. She eats 5 on Monday and twice as many on Tuesday. After she has eaten the brownies on Tuesday, all of the brownies she made are gone. How many brownies did Katy make?",Step 1,Katy eats 5 brownies on Monday and 5 x 2 = <<5*2=10>>10 on Tuesday.,1,1,['5*2=10'],['5*2=>10=>10.0000000000000'],['10=>10.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['10.0000000000000']
"Katy makes some brownies to eat throughout the week. She eats 5 on Monday and twice as many on Tuesday. After she has eaten the brownies on Tuesday, all of the brownies she made are gone. How many brownies did Katy make?",Step 2,Katy has eaten 5 + 10 = <<5+10=15>>15 brownies.,1,1,['5+10=15'],['5+10=>15=>15.0000000000000'],['15=>15.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['15.0000000000000']
"Katy makes some brownies to eat throughout the week. She eats 5 on Monday and twice as many on Tuesday. After she has eaten the brownies on Tuesday, all of the brownies she made are gone. How many brownies did Katy make?",Step 3,Katy made 15 + 5 = <<15+5=20>>20 brownies. The answer is: 20,0,1,['15+5=20'],['15+5=>20=>20.0000000000000'],['20=>20.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['20.0000000000000']
"Ignatius owns 4 bicycles.  A friend of his owns different types of cycles, which have three times are many tires as Ignatius's bikes have. He has one unicycle, a tricycle, and the rest are bikes. How many bicycles does the friend own?",Step 1,The friend has 3 * 4 = <<3*4=12>>12 tires.,0,1,['3*4=12'],['3*4=>12=>12.0000000000000'],['12=>12.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['12.0000000000000']
"Ignatius owns 4 bicycles.  A friend of his owns different types of cycles, which have three times are many tires as Ignatius's bikes have. He has one unicycle, a tricycle, and the rest are bikes. How many bicycles does the friend own?",Step 2,So he owns 12 / 3 = <<12/3=4>>4 bicycles. The answer is: 4,0,1,['12/3=4'],['12/3=>4=>4.00000000000000'],['4=>4.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['4.00000000000000']
"April went to a concert that has two bands. 2/3 of the audience was there for the second band and 1/3 was there for the first band. 50% of the audience there for the second band is under the age of 30. Of this group, 60% are women and there are 20 men. How many people are at the concert?",Step 1,2/3 of the audience was there for the second band so 2/3*500 = <<2/3*500=333>>333 people,0,1,['2/3*500=333'],['2/3*500=>1000/3=>333.333333333333'],['333=>333.000000000000'],['sympy'],['sympy'],[''],[''],[0],['333.333333333333']
"April went to a concert that has two bands. 2/3 of the audience was there for the second band and 1/3 was there for the first band. 50% of the audience there for the second band is under the age of 30. Of this group, 60% are women and there are 20 men. How many people are at the concert?",Step 2,The second band has 50% of the audience under the age of 30 so 333/2 = <<333/2=166>>166 people,0,1,['333/2=166'],['333/2=>166.500000000000'],['166=>166.000000000000'],['sympy'],['sympy'],[''],[''],[0],['166.500000000000']
"April went to a concert that has two bands. 2/3 of the audience was there for the second band and 1/3 was there for the first band. 50% of the audience there for the second band is under the age of 30. Of this group, 60% are women and there are 20 men. How many people are at the concert?",Step 3,"Of this group, 60% are women so 166*.6 = <<166*.6=100>>100 people",0,1,['166*.6=100'],['166*.6=>99.6000000000000'],['100=>100.000000000000'],['sympy'],['sympy'],[''],[''],[0],['99.6000000000000']
"April went to a concert that has two bands. 2/3 of the audience was there for the second band and 1/3 was there for the first band. 50% of the audience there for the second band is under the age of 30. Of this group, 60% are women and there are 20 men. How many people are at the concert?",Step 4,There are 20 men in this group so 100-20 = <<100-20=80>>80 people The answer is: 80,0,1,['100-20=80'],['100-20=>80=>80.0000000000000'],['80=>80.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['80.0000000000000']
"If I give my brother 2 marbles I will have double his number of marbles, but my friend will have triple the number I do. The total number of marbles we have together is 63. How many marbles do I have?",Step 1,"My brother has 2 marbles, my friend has 63/3=<<20=20>>20 marbles and I have the rest which is 63-2-20=<<63-2-20=21>>21 marbles.",0,1,"['20=20', '63-2-20=21']","['20=>20.0000000000000', '63-2-20=>41=>41.0000000000000']","['20=>20.0000000000000', '21=>21.0000000000000']","['sympy', 'sympy']","['sympy', 'sympy']","['', '']","['', '']","[1, 0]","['20.0000000000000', '41.0000000000000']"
"If I give my brother 2 marbles I will have double his number of marbles, but my friend will have triple the number I do. The total number of marbles we have together is 63. How many marbles do I have?",Step 2,"If I give my brother 2 marbles, I will have 21-2=<<21-2=19>>19 marbles.",0,1,['21-2=19'],['21-2=>19=>19.0000000000000'],['19=>19.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['19.0000000000000']
"If I give my brother 2 marbles I will have double his number of marbles, but my friend will have triple the number I do. The total number of marbles we have together is 63. How many marbles do I have?",Step 3,"My friend has 3 times the number of marbles I have, which is 3*19=<<3*19=57>>57 marbles.",0,1,['3*19=57'],['3*19=>57=>57.0000000000000'],['57=>57.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['57.0000000000000']
"If I give my brother 2 marbles I will have double his number of marbles, but my friend will have triple the number I do. The total number of marbles we have together is 63. How many marbles do I have?",Step 4,The total number of marbles we have together is 57+21=<<57+21=78>>78.,0,1,['57+21=78'],['57+21=>78=>78.0000000000000'],['78=>78.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['78.0000000000000']
"If I give my brother 2 marbles I will have double his number of marbles, but my friend will have triple the number I do. The total number of marbles we have together is 63. How many marbles do I have?",Step 5,I have 21/2=<<21/2=10.5>>10.5 marbles. The answer is: 10.5,0,1,['21/2=10.5'],['21/2=>10.5000000000000'],['10.5=>10.5000000000000'],['sympy'],['sympy'],[''],[''],[1],['10.5000000000000']
James has a room that is 13 feet by 18 feet.  He increases each dimension by 2 feet.  He then builds 3 more rooms of equal size and 1 room of twice that size.  How much area does he have?,Step 1,He increases each dimension by 2 feet so 13+2 = <<13+2=15>>15 and 18+2 = <<18+2=20>>20,1,1,"['13+2=15', '18+2=20']","['13+2=>15=>15.0000000000000', '18+2=>20=>20.0000000000000']","['15=>15.0000000000000', '20=>20.0000000000000']","['sympy', 'sympy']","['sympy', 'sympy']","['', '']","['', '']","[1, 1]","['15.0000000000000', '20.0000000000000']"
James has a room that is 13 feet by 18 feet.  He increases each dimension by 2 feet.  He then builds 3 more rooms of equal size and 1 room of twice that size.  How much area does he have?,Step 2,He builds 3 rooms of 15*2 = <<3*15*2=45>>45 and 1 room of 20*2 = <<1*20*2=40>>40,0,1,"['3*15*2=45', '1*20*2=40']","['3*15*2=>90=>90.0000000000000', '1*20*2=>40=>40.0000000000000']","['45=>45.0000000000000', '40=>40.0000000000000']","['sympy', 'sympy']","['sympy', 'sympy']","['', '']","['', '']","[0, 1]","['90.0000000000000', '40.0000000000000']"
James has a room that is 13 feet by 18 feet.  He increases each dimension by 2 feet.  He then builds 3 more rooms of equal size and 1 room of twice that size.  How much area does he have?,Step 3,So his total area is 45+40+20+15 = <<45+40+20+15=120>>120 square feet The answer is: 120,0,1,['45+40+20+15=120'],['45+40+20+15=>120=>120.000000000000'],['120=>120.000000000000'],['sympy'],['sympy'],[''],[''],[1],['120.000000000000']
"If Buzz bought a pizza with 78 slices at a restaurant and then decided to share it with the waiter in the ratio of 5:8, with Buzz's ratio being 5, what's twenty less the number of slices of pizza that the waiter ate?",Step 1,The total ratio representing the pizza is 5+8 = <<5+8=13>>13.,1,1,['5+8=13'],['5+8=>13=>13.0000000000000'],['13=>13.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['13.0000000000000']
"If Buzz bought a pizza with 78 slices at a restaurant and then decided to share it with the waiter in the ratio of 5:8, with Buzz's ratio being 5, what's twenty less the number of slices of pizza that the waiter ate?",Step 2,The waiter ate 13 x 8 / 13 = <<13*8/13=6>>6 slices of the pizza.,0,1,['13*8/13=6'],['13*8/13=>8=>8.00000000000000'],['6=>6.00000000000000'],['sympy'],['sympy'],[''],[''],[0],['8.00000000000000']
"If Buzz bought a pizza with 78 slices at a restaurant and then decided to share it with the waiter in the ratio of 5:8, with Buzz's ratio being 5, what's twenty less the number of slices of pizza that the waiter ate?",Step 3,Buzz ate 78 - 6 = <<78-6=72>>72 slices of the pizza.,0,1,['78-6=72'],['78-6=>72=>72.0000000000000'],['72=>72.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['72.0000000000000']
"If Buzz bought a pizza with 78 slices at a restaurant and then decided to share it with the waiter in the ratio of 5:8, with Buzz's ratio being 5, what's twenty less the number of slices of pizza that the waiter ate?",Step 4,The waiter ate 20 less than the number of slices that Buzz ate which is 72 - 20 = 52.,0,1,[' 72 - 20 = 52.'],[' 72 - 20 =>72 - 20=>52=>52.0000000000000'],[' 52.=>52.=>52.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['52.0000000000000']
"If Buzz bought a pizza with 78 slices at a restaurant and then decided to share it with the waiter in the ratio of 5:8, with Buzz's ratio being 5, what's twenty less the number of slices of pizza that the waiter ate?",Step 5,The waiter ate 52 slices of the pizza. The answer is: 52,0,0,[],[],[],[],[],[],[],[],[]
"A local college is offering German lessons and currently has 8 students enrolled. Through advertising, 8 more became interested but a fourth of these dropped out within a day. 2 more got frustrated and left. The class then rallied to show how simple the course actually is and increased enrollment by 5 times the amount of students already enrolled in the class, but 2 had to drop it because of scheduling conflicts. After one last rally, 6 more people enrolled. As the days passed, half of the class eventually dropped, and half of the remaining students graduated. How many are still enrolled?",Step 1,Advertisements attracted 8 more students which is 8 + 8 = <<8+8=16>>16 students,1,1,['8+8=16'],['8+8=>16=>16.0000000000000'],['16=>16.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['16.0000000000000']
"A local college is offering German lessons and currently has 8 students enrolled. Through advertising, 8 more became interested but a fourth of these dropped out within a day. 2 more got frustrated and left. The class then rallied to show how simple the course actually is and increased enrollment by 5 times the amount of students already enrolled in the class, but 2 had to drop it because of scheduling conflicts. After one last rally, 6 more people enrolled. As the days passed, half of the class eventually dropped, and half of the remaining students graduated. How many are still enrolled?",Step 2,16 x 4 = <<16*4=64>>64 dropped out,0,1,['16*4=64'],['16*4=>64=>64.0000000000000'],['64=>64.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['64.0000000000000']
"A local college is offering German lessons and currently has 8 students enrolled. Through advertising, 8 more became interested but a fourth of these dropped out within a day. 2 more got frustrated and left. The class then rallied to show how simple the course actually is and increased enrollment by 5 times the amount of students already enrolled in the class, but 2 had to drop it because of scheduling conflicts. After one last rally, 6 more people enrolled. As the days passed, half of the class eventually dropped, and half of the remaining students graduated. How many are still enrolled?",Step 3,"2 got frustrated and left, leaving 16 - 2 = <<16-2=14>>14 students",0,1,['16-2=14'],['16-2=>14=>14.0000000000000'],['14=>14.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['14.0000000000000']
"A local college is offering German lessons and currently has 8 students enrolled. Through advertising, 8 more became interested but a fourth of these dropped out within a day. 2 more got frustrated and left. The class then rallied to show how simple the course actually is and increased enrollment by 5 times the amount of students already enrolled in the class, but 2 had to drop it because of scheduling conflicts. After one last rally, 6 more people enrolled. As the days passed, half of the class eventually dropped, and half of the remaining students graduated. How many are still enrolled?",Step 4,14 x 5 = <<14*5=70>>70 enrolled,0,1,['14*5=70'],['14*5=>70=>70.0000000000000'],['70=>70.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['70.0000000000000']
"A local college is offering German lessons and currently has 8 students enrolled. Through advertising, 8 more became interested but a fourth of these dropped out within a day. 2 more got frustrated and left. The class then rallied to show how simple the course actually is and increased enrollment by 5 times the amount of students already enrolled in the class, but 2 had to drop it because of scheduling conflicts. After one last rally, 6 more people enrolled. As the days passed, half of the class eventually dropped, and half of the remaining students graduated. How many are still enrolled?",Step 5,"2 had to drop due to scheduling conflicts, leaving 70 - 2 = <<70-2=68>>68 students",0,1,['70-2=68'],['70-2=>68=>68.0000000000000'],['68=>68.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['68.0000000000000']
"A local college is offering German lessons and currently has 8 students enrolled. Through advertising, 8 more became interested but a fourth of these dropped out within a day. 2 more got frustrated and left. The class then rallied to show how simple the course actually is and increased enrollment by 5 times the amount of students already enrolled in the class, but 2 had to drop it because of scheduling conflicts. After one last rally, 6 more people enrolled. As the days passed, half of the class eventually dropped, and half of the remaining students graduated. How many are still enrolled?",Step 6,68 + 6 = <<68+6=74>>74 students enrolled,0,1,['68+6=74'],['68+6=>74=>74.0000000000000'],['74=>74.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['74.0000000000000']
"A local college is offering German lessons and currently has 8 students enrolled. Through advertising, 8 more became interested but a fourth of these dropped out within a day. 2 more got frustrated and left. The class then rallied to show how simple the course actually is and increased enrollment by 5 times the amount of students already enrolled in the class, but 2 had to drop it because of scheduling conflicts. After one last rally, 6 more people enrolled. As the days passed, half of the class eventually dropped, and half of the remaining students graduated. How many are still enrolled?",Step 7,"Half of the original 8 students dropped, leaving 8 / 2 = <<8/2=4>>4 students",0,1,['8/2=4'],['8/2=>4=>4.00000000000000'],['4=>4.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['4.00000000000000']
"A local college is offering German lessons and currently has 8 students enrolled. Through advertising, 8 more became interested but a fourth of these dropped out within a day. 2 more got frustrated and left. The class then rallied to show how simple the course actually is and increased enrollment by 5 times the amount of students already enrolled in the class, but 2 had to drop it because of scheduling conflicts. After one last rally, 6 more people enrolled. As the days passed, half of the class eventually dropped, and half of the remaining students graduated. How many are still enrolled?",Step 8,"Half of the remaining students graduated, leaving 74 - 4 = <<74-4=37>>37 students The answer is: 37",0,1,['74-4=37'],['74-4=>70=>70.0000000000000'],['37=>37.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['70.0000000000000']
"An apple tree has three times as many apples as the number of plums on a plum tree. If Damien picks 3/5 of the fruits from the trees, calculate the total number of plums and apples remaining on the tree if there were 180 apples on the apple tree before Damien picked any of the fruits.",Step 1,"Since there are three times as many apples as plums on the apple tree, the number of plums is 1/3 the number of apples on the tree, or 180*(1/3)= <<180*(1/3)=60>>60.",1,1,['180*(1/3)=60'],['180*(1/3)=>60=>60.0000000000000'],['60=>60.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['60.0000000000000']
"An apple tree has three times as many apples as the number of plums on a plum tree. If Damien picks 3/5 of the fruits from the trees, calculate the total number of plums and apples remaining on the tree if there were 180 apples on the apple tree before Damien picked any of the fruits.",Step 2,"If Damien picks 3/5 of the fruits from the trees, he picks 3/5*60= <<3/5*60=42>>42 plums.",0,1,['3/5*60=42'],['3/5*60=>36=>36.0000000000000'],['42=>42.0000000000000'],['sympy'],['sympy'],[''],[''],[0],['36.0000000000000']
"An apple tree has three times as many apples as the number of plums on a plum tree. If Damien picks 3/5 of the fruits from the trees, calculate the total number of plums and apples remaining on the tree if there were 180 apples on the apple tree before Damien picked any of the fruits.",Step 3,The total number of plums remaining on the plum tree is 60-42=<<60-42=18>>18 The answer is: 18,0,1,['60-42=18'],['60-42=>18=>18.0000000000000'],['18=>18.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['18.0000000000000']
"There are four growing trees. The first tree grows 1 meter/day, the second grows the same amount in half the time, the third grows 2 meters/day, and the fourth tree grows a meter more than the third each day. How many meters did the trees grow in total in 4 days?",Step 1,The second tree grows 1/2 a day so it grows 1/2 * 1 = 1/2 * 1 = 1/2 meter/day,0,1,[' 1/2 * 1 = 1/2 * 1 '],[' 1/2 * 1 =>1/2 * 1=>1/2=>0.500000000000000'],[' 1/2 * 1 =>1/2 * 1=>1/2=>0.500000000000000'],['sympy'],['sympy'],[''],[''],[1],['0.500000000000000']
"There are four growing trees. The first tree grows 1 meter/day, the second grows the same amount in half the time, the third grows 2 meters/day, and the fourth tree grows a meter more than the third each day. How many meters did the trees grow in total in 4 days?",Step 2,The first and second trees grow 1 + 1/2 = <<1+1/2=1.5>>1.5 meters/day,0,1,['1+1/2=1.5'],['1+1/2=>3/2=>1.50000000000000'],['1.5=>1.50000000000000'],['sympy'],['sympy'],[''],[''],[1],['1.50000000000000']
"There are four growing trees. The first tree grows 1 meter/day, the second grows the same amount in half the time, the third grows 2 meters/day, and the fourth tree grows a meter more than the third each day. How many meters did the trees grow in total in 4 days?",Step 3,The third tree grows 2 meters/day,0,1,[],[],[],[],[],[],[],[],[]
"There are four growing trees. The first tree grows 1 meter/day, the second grows the same amount in half the time, the third grows 2 meters/day, and the fourth tree grows a meter more than the third each day. How many meters did the trees grow in total in 4 days?",Step 4,The fourth tree grows 2 + 1 = <<2+1=3>>3 meters/day,0,1,['2+1=3'],['2+1=>3=>3.00000000000000'],['3=>3.00000000000000'],['sympy'],['sympy'],[''],[''],[1],['3.00000000000000']
"There are four growing trees. The first tree grows 1 meter/day, the second grows the same amount in half the time, the third grows 2 meters/day, and the fourth tree grows a meter more than the third each day. How many meters did the trees grow in total in 4 days?",Step 5,The trees grow 1.5 + 2 + 3 = <<1.5+2+3=7>>7 meters/day,0,1,['1.5+2+3=7'],['1.5+2+3=>6.50000000000000'],['7=>7.00000000000000'],['sympy'],['sympy'],[''],[''],[0],['6.50000000000000']
"There are four growing trees. The first tree grows 1 meter/day, the second grows the same amount in half the time, the third grows 2 meters/day, and the fourth tree grows a meter more than the third each day. How many meters did the trees grow in total in 4 days?",Step 6,The trees grow 4 * 7 = <<4*7=28>>28 meters in total. The answer is: 28,0,1,['4*7=28'],['4*7=>28=>28.0000000000000'],['28=>28.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['28.0000000000000']
Mark is baking bread. He has to let it rise for 120 minutes twice. He also needs to spend 10 minutes kneading it and 30 minutes baking it. How many minutes does it take Mark to finish making the bread?,Step 1,The first rising takes 120 / 2 = <<120/2=60>>60 minutes.,0,1,['120/2=60'],['120/2=>60=>60.0000000000000'],['60=>60.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['60.0000000000000']
Mark is baking bread. He has to let it rise for 120 minutes twice. He also needs to spend 10 minutes kneading it and 30 minutes baking it. How many minutes does it take Mark to finish making the bread?,Step 2,The total time spent on rising is 60 + 60 = <<60+60=120>>120 minutes.,0,1,['60+60=120'],['60+60=>120=>120.000000000000'],['120=>120.000000000000'],['sympy'],['sympy'],[''],[''],[1],['120.000000000000']
Mark is baking bread. He has to let it rise for 120 minutes twice. He also needs to spend 10 minutes kneading it and 30 minutes baking it. How many minutes does it take Mark to finish making the bread?,Step 3,The total time spent on kneading and rising is 10 + 60 = <<10+60=70>>70 minutes.,0,1,['10+60=70'],['10+60=>70=>70.0000000000000'],['70=>70.0000000000000'],['sympy'],['sympy'],[''],[''],[1],['70.0000000000000']
Mark is baking bread. He has to let it rise for 120 minutes twice. He also needs to spend 10 minutes kneading it and 30 minutes baking it. How many minutes does it take Mark to finish making the bread?,Step 4,The total time spent on baking is 30 minutes.,0,0,[],[],[],[],[],[],[],[],[]
Mark is baking bread. He has to let it rise for 120 minutes twice. He also needs to spend 10 minutes kneading it and 30 minutes baking it. How many minutes does it take Mark to finish making the bread?,Step 5,The total time spent on making the bread is 70 + 30 = <<70+30=100>>100 minutes.,0,1,['70+30=100'],['70+30=>100=>100.000000000000'],['100=>100.000000000000'],['sympy'],['sympy'],[''],[''],[1],['100.000000000000']
Mark is baking bread. He has to let it rise for 120 minutes twice. He also needs to spend 10 minutes kneading it and 30 minutes baking it. How many minutes does it take Mark to finish making the bread?,Step 6,It takes Mark 100 + 120 = <<100+120=220>>220 minutes to finish making the bread. The answer is: 220,0,1,['100+120=220'],['100+120=>220=>220.000000000000'],['220=>220.000000000000'],['sympy'],['sympy'],[''],[''],[1],['220.000000000000']
"Michael is baking a cake and needs 6 cups of flour. The only measuring cup he has is the 1/4 cup. He has an 8 cup bag of flour and realizes it would be faster to measure the flour he doesn't need, take it out of the bag, and then dump the rest of the bag into the bowl. How many scoops should he remove?",Step 1,He needs 6 - 1/4 = <<6-1/4=5-1/2>>5 1/2 cups of flour,0,1,['6-1/4=5-1/2'],['6-1/4=>23/4=>5.75000000000000'],['5-1/2=>9/2=>4.50000000000000'],['sympy'],['sympy'],[''],[''],[0],['5.75000000000000']
